Outcome,Noncarrier_slope_95CI,MC1R_slope_95CI,Beta_diff_95CI,Pct_diff,P_value
MDS-UPDRS I,"0.42 (0.33, 0.51)","0.50 (0.44, 0.56)","0.08 (-0.03, 0.19)",18.4,0.16
MDS-UPDRS II,"0.93 (0.72, 1.14)","1.06 (0.91, 1.20)","0.12 (-0.14, 0.38)",13.0,0.35
MDS-UPDRS IV,"0.39 (0.29, 0.49)","0.39 (0.32, 0.46)","0.00 (-0.12, 0.12)",0.2,0.99
MoCA,"-0.22 (-0.32, -0.12)","-0.20 (-0.27, -0.13)","0.02 (-0.10, 0.14)",9.0,0.75
SCOPA-AUT,"0.70 (0.58, 0.83)","0.66 (0.57, 0.75)","-0.04 (-0.19, 0.11)",-5.8,0.60
GDS,"0.10 (0.03, 0.16)","0.15 (0.11, 0.20)","0.06 (-0.02, 0.14)",60.7,0.16
ESS,"0.26 (0.17, 0.35)","0.33 (0.26, 0.39)","0.07 (-0.05, 0.18)",25.7,0.25
DAT-SPECT caudate SBR,"-0.13 (-0.15, -0.11)","-0.13 (-0.15, -0.12)","0.00 (-0.02, 0.03)",0.8,0.93
DAT-SPECT putamen SBR,"-0.07 (-0.08, -0.06)","-0.07 (-0.08, -0.06)","0.00 (-0.01, 0.02)",4.5,0.72
